approx_price_eur_scale,battery_mah_scale,ram_in_gb_scale,internal_memory_in_gb_scale,sales_scale,Year,id
0.13325276866154043,-0.4374760263200687,0.3779431322091636,3.479012088607117,0.0,1996,Motorola StarTAC 75
-0.031377196768425895,-0.15565211846411228,-0.020813523048814453,1.2446800296776104,0.0,1999,Nokia 3210
0.13325276866154043,-0.6755496494497245,0.3779431322091636,3.479012088607117,-0.39767952132487305,2003,Motorola C200
-0.04562808710349444,0.316401296064609,-0.020813523048814453,1.238905959094458,1.6667770101430475,2003,Nokia 1100
-0.5126107131747325,-0.5432895233811467,-0.9713126147082093,-0.9695450628759271,-0.83230194900233,2003,Nokia 2100
-0.4534730001739499,0.316401296064609,-0.02081352304881445,-0.4053690088198545,0.5802209409494051,2003,Nokia 6600
-0.5903116687368636,0.316401296064609,-0.9156870840046407,-0.5145119449424734,-1.0170164807652493,2003,Nokia N-Gage
-0.3616990016448122,-0.3513883337557148,0.7414706811055437,2.1474697287429465,0.0,2004,Nokia 2650
-0.3226605486842845,0.2292368138234211,-0.04276707833157987,4.310693218001892,-0.4717676704641715,2005,Motorola C139
-0.3226605486842845,0.1359427616859822,-0.020813523048814453,-0.1478631162940191,1.3904731339996634,2005,Nokia 1110
-0.1463798893062867,0.1359427616859822,-0.39919729734521187,-0.0845348181873599,-0.9187054635354919,2005,Sony Ericsson K750
-0.5565697996146446,-0.2598498280752473,0.07996081870946438,-0.206504524027586,1.0,2006,Nokia 6300
-0.3713150751497803,-0.6635744176237598,0.7237377184934841,-0.1787364801487675,-1.0,2006,Samsung E250
2.54071477537213,1.881859807534423,2.170637181016871,11.90627337202606,-0.47593979346902016,2007,Apple iPhone
-0.2910882646157782,0.2954082256013338,-0.24286367782033982,-0.1387201221761909,-0.49472689057963937,2007,LG KU990 Viewty
-0.9105451796131332,-0.8944304608484831,-0.02081352304881445,-0.2094516719341684,2.2294021904601475,2007,Nokia 1200
-0.202594419616156,-0.1012046698819384,-0.8379046564690092,-0.1976630803078387,-0.3068559194734472,2007,Nokia 5610 XpressMusic
0.6823440303800652,0.0971017778596976,-0.6728003138609732,-0.0945129035774549,-0.4007914050265433,2007,Nokia N95
-0.2214116131248296,0.6273702421953011,-0.9156870840046407,-0.1374881409330364,-0.551088181911497,2007,Palm Centro
-0.2886759006564234,-0.3292662666306238,0.7237377184934841,-0.1499982071910715,1.414213562373095,2008,LG KP100
-0.086883038061642,1.27788306819693,-0.0691955281171258,-0.1341124087681698,-0.7071067811865475,2008,Nokia 5800 XpressMusic
-0.1317258964160378,1.966661354551596,-0.0691955281171258,-0.1283538068398679,-0.7071067811865475,2008,Nokia E71
-0.0600240087801963,1.389296617957348,0.3176970896786053,7.259931728778849,-0.5666259291027301,2009,Apple iPhone 3GS
-0.2438330423020275,-0.3292662666306238,0.1922556977461973,-0.1406653006176167,-0.9072207498748631,2009,LG KP500 Cookie
-0.1699659432296376,1.0799200047277326,-0.7728483433063567,-0.2600514831912873,1.213756088569783,2009,Nokia 5230
-0.2799078776790789,-1.124388364533278,-0.02081352304881445,-0.2758584301731291,1.213756088569783,2009,Samsung E1100
-0.2066132547127847,-0.1575864481907295,-0.39829975376914123,-0.2646332069541399,-0.9536654981619721,2009,Samsung S5230 Star
0.2851473337614419,0.7205237176200544,-0.0236331459935764,6.764993390581572,-1.0,2010,Apple iPhone 4
-0.3172962978619966,-0.8185201301720559,0.3779431322091636,3.479012088607117,1.0,2010,Nokia 1280
0.417846744243043,0.0854713822916869,-0.0541814875566358,5.414196704768393,1.4119136803402057,2011,Apple iPhone 4s
0.7115582475784481,0.0479171758757672,-0.0363473666793815,-0.0815741471463874,-0.6361369329005323,2011,HTC ThunderBolt 4G
0.5647024959107455,0.4410627742924271,-0.0541814875566358,1.0175800232365686,-0.7757767474396735,2011,Motorola DROID BIONIC XT875
1.8537318763065356,-0.2105003333386733,0.6512834136203961,4.664849396744669,1.4010793384276528,2012,Apple iPhone 5
1.4611676907313904,1.554398856615148,2.8555434467041687,4.664849396744669,-0.5340088445195729,2012,Samsung Galaxy Note II N7100
0.9704624587624596,0.3848873451999651,2.8555434467041687,2.0229690180435083,-0.8670704939080799,2012,Xiaomi Mi 2
0.3557422306034388,-0.4224879955867915,0.0591243605395172,4.269950002397247,1.5856543368107248,2013,Apple iPhone 5s
0.209637940024393,1.1584040316107524,1.238497485628654,1.794083830872277,-0.9096750214833755,2013,LG G2
0.5748986664720075,1.3779723687215224,2.4178706107177903,4.269950002397247,-0.8015183310309997,2013,Samsung Galaxy Note 3
0.3557422306034388,0.7192673573892124,1.238497485628654,4.269950002397247,0.12553901570365056,2013,Samsung I9505 Galaxy S4
0.2232771140476536,0.7461082100298301,0.7620731262440303,0.4411664234654289,0.0,2014,LG G3
2.087849078532373,1.1114018221484456,0.3032621161038762,1.2020167585414667,0.018986581228931248,2016,Huawei Mate 9
0.5026303337207563,-0.0278438240247309,0.3032621161038762,1.2020167585414667,-1.234127779880519,2016,Oppo F1 Plus
-0.6862837248879561,-0.2755059210188998,0.5150411048818808,-0.5821507027746702,1.215141198651588,2016,Samsung Galaxy Grand Prime Plus
0.3045721104258628,-0.4271391062933674,-0.0504866014445274,0.7528895586557115,0.0,2017,Apple iPhone X
-0.9279005752104748,-0.8176167787234556,-1.385317605488518,-1.0601321507701966,1.4013089247383692,2018,Samsung Galaxy J2 Core
-0.5292015110308392,-0.0298334567140196,-0.7865971492888769,-0.8168408685547541,-0.5355788036958167,2018,Samsung Galaxy J4+
-0.3077020309310416,-0.0298334567140196,-0.1878766930892356,-0.330258304123869,-0.8657301210425529,2018,Samsung Galaxy J6+
-0.3520019269510011,1.0167929568128025,0.1613581411942869,0.05718222530448889,-0.49264459194091365,2019,Oppo A5
-0.6554520528745406,-1.4094500458781147,-1.3928945657609364,-1.237360043129914,0.3322486782857319,2019,Samsung Galaxy A01
-0.736397095497817,-0.2952137979336235,-0.948828493066143,-0.6675243353589373,1.8674667089853225,2019,Samsung Galaxy A10
-0.5616604940150562,0.221624723402506,-0.948828493066143,-0.6675243353589373,-1.1571419485123782,2019,Samsung Galaxy A10s
-0.451112848179024,0.221624723402506,-0.542496904503596,-0.6675243353589373,1.0425734387586771,2019,Samsung Galaxy A20
-0.2728101936047785,0.221624723402506,-0.542496904503596,-0.6675243353589373,-0.549928846817764,2019,Samsung Galaxy A30
-0.3954824199518594,0.221624723402506,-0.542496904503596,-0.6675243353589373,-1.2144262033892284,2019,Samsung Galaxy A30s
0.0837951155437126,0.221624723402506,-0.1361653159410489,-0.1801088490605034,1.1685987994877478,2019,Samsung Galaxy A50
-0.0990007659258039,0.221624723402506,-0.1361653159410489,-0.1801088490605034,1.054030289734047,2019,Samsung Galaxy A51
-0.9722004712304344,-0.3674548804323493,-0.7865971492888769,-0.8168408685547541,-0.45827403901480335,2019,Xiaomi Redmi 6A
-0.7649255202296962,1.083022258962722,-0.542496904503596,-0.6675243353589373,-0.8248932702266458,2019,Xiaomi Redmi 8
-0.7756950005659805,1.083022258962722,-0.948828493066143,-0.6675243353589373,-0.7676090153497954,2019,Xiaomi Redmi 8A
0.4757878628123782,-0.6614484455541579,0.2644982018424264,0.3979045878069751,1.7675411238071579,2020,Apple iPhone 12 Pro Max
-0.5140189439021213,-0.3206558678228647,-1.3928945657609364,-1.0037508101389296,-0.38301956856922453,2020,Samsung Galaxy A11
-0.4312672384706331,0.7681383102323852,-0.9785463738600956,-1.0037508101389296,0.2605788868134882,2020,Samsung Galaxy A21s
0.164062991866578,0.2237412212047602,0.2644982018424264,0.3979045878069751,-1.2149883035761464,2020,Samsung Galaxy S20 FE
-0.289512763651878,0.7899141937934901,0.2644982018424264,-0.5365323441569614,-0.4301121384752768,2020,Xiaomi Redmi Note 9 Pro
-0.0101055075318794,0.1809551878696421,0.3664503789528013,-0.1576144332174779,0.0,2022,Samsung Galaxy S22 Ultra 5G
-0.1328909871730809,-0.5593504012522076,-0.0789462526754649,-0.4857265586832436,0.0,2023,Samsung Galaxy S23 FE
-0.8137920922436752,-0.2020629330799355,-1.255735854444183,-0.9250269135722646,-0.5682411743268501,2024,Samsung Galaxy A55
-0.2983755440796742,-1.6645529079972228,-0.7011191853980023,-0.9250269135722646,-0.8374080463764109,2024,Samsung Galaxy S24
0.4760186728338354,-0.2020629330799355,0.4081141526943592,0.1239726791385509,1.405649220703261,2024,Samsung Galaxy S24 Ultra
